Name,imo,aredl,date,video,description,extreme?
Deflective,1,590,13/10/23,,,TRUE
Prismatic Haze,2,555,16/09/23,,,TRUE
Inflective,3,543,15/10/23,,,TRUE
Semicolon 3,4,790,16/12/23,,,TRUE
Phonk Town,5,321,22/11/23 (Rebeat 24/12/23),,Ranking is based on unrated demon list*,TRUE
Reflective,6,690,01/02/23,,,TRUE
Reverence,7,776,23/08/23,,,TRUE
Sephtis,8,913,28/08/23,,,TRUE
TROLLMACHINE,9,758,04/07/23,NA,"Recording of it corrupted, don't know when it was",TRUE
Cataclysm,10,862,29/03/24,,,TRUE
Disruption,11,849,01/09/23 (Rebeat 04/02/24,,,TRUE
Penombre,12,881,19/08/23,,,TRUE
Niwa,13,921,03/12/23,,,TRUE
Precipitance,14,934,13/01/23,,,TRUE
Lost Love,15,887,03/05/24,,,TRUE
Penumbra,16,1062,02/12/23,,,FALSE
R3d Room,17,NA,28/12/23,,No rating for aredl since it is on no lists*,FALSE
Acu,18,928,27/12/22,,,TRUE
Thanatophobia,19,1061,12/04/22,,,FALSE
The End,20,1057,,NA,,FALSE
Swarm,21,1064,14/12/23,NA,,FALSE
Leyak,22,1069,13/11/23,NA,,FALSE
Arcane,23,1075,,NA,,FALSE
